City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Opunake,NZ,5/13/2020 19:38,-39.46,173.86,48.99,88,100,1.99
186,Hilo,US,5/13/2020 19:43,19.73,-155.09,82.4,54,1,3.36
187,Saint-Philippe,RE,5/13/2020 19:43,-21.36,55.77,69.8,73,62,3.36
188,Umm Kaddadah,SD,5/13/2020 19:43,13.6,26.69,88.27,12,0,14.32
189,Awbari,LY,5/13/2020 19:39,26.59,12.78,85.17,11,0,10.13
190,Mishkino,RU,5/13/2020 19:43,55.34,63.92,59.31,56,69,3.91
191,Qui Nhon,VN,5/13/2020 19:43,13.77,109.23,79.32,86,100,3.2
192,Pevek,RU,5/13/2020 19:43,69.7,170.31,30.76,97,91,0.29
193,Veraval,IN,5/13/2020 19:43,20.9,70.37,81.55,82,0,10.29
194,Victoria,HK,5/13/2020 19:42,22.29,114.16,78.01,83,90,11.01
195,Vestmannaeyjar,IS,5/13/2020 19:39,63.44,-20.27,44.6,81,40,18.34
196,Quixeramobim,BR,5/13/2020 19:42,-5.2,-39.29,81.1,78,0,3.15
197,Bonthe,SL,5/13/2020 19:43,7.53,-12.51,82.17,81,100,6.04
198,Oytal,KZ,5/13/2020 19:43,42.91,73.27,61.39,79,93,5.99
199,Saint George,US,5/13/2020 19:43,37.1,-113.58,78.01,28,1,6.93
200,Coquimbo,CL,5/13/2020 19:43,-29.95,-71.34,62.6,67,0,11.41
201,Svetlaya,RU,5/13/2020 19:43,46.54,138.33,43.48,71,11,4.52
202,Ilheus,BR,5/13/2020 19:43,-14.79,-39.05,76.51,77,12,5.53
203,Tome,CL,5/13/2020 19:43,-36.62,-72.95,60.8,63,13,10.29
204,Suez,EG,5/13/2020 19:43,29.97,32.53,76.8,30,100,14.97
205,Omsukchan,RU,5/13/2020 19:43,62.53,155.8,32.99,92,0,1.83
206,Akdepe,TM,5/13/2020 19:43,42.06,59.38,60.8,77,78,4.7
207,Luderitz,NA,5/13/2020 19:42,-26.65,15.16,60.8,72,19,12.75
208,Dunedin,NZ,5/13/2020 19:40,-45.87,170.5,48.99,92,100,3
209,Guerrero Negro,MX,5/13/2020 19:43,27.98,-114.06,71.82,54,0,18.84
210,Atuona,PF,5/13/2020 19:43,-9.8,-139.03,81.81,73,0,13.85
211,Sao Felix Do Xingu,BR,5/13/2020 19:38,-6.64,-51.99,85.44,67,24,3.29
212,Vanimo,PG,5/13/2020 19:43,-2.67,141.3,78.76,85,55,4.12
213,Bengkulu,ID,5/13/2020 19:43,-3.8,102.27,78.26,86,100,2.73
214,Tottori,JP,5/13/2020 19:43,35.5,134.23,56.91,48,0,7.4
215,Arcos De La Frontera,ES,5/13/2020 19:43,36.75,-5.81,59,93,20,8.05
